lemma,pos,clue,filter_score
thermographie,nom,Technique d'imagerie,0.8283
transafricain,adj,Originaire d'Afrique,0.8282
transculturel,adj,Interculturel,0.9437
transmissible,adj,Communicable,0.9011
transportable,adj,Déplaçable,0.8612
triacontaèdre,nom,Polyèdre à trente faces,0.8208
vrombissement,nom,Bruit rauque,0.8158
vérifiabilité,nom,Contrôlabilité,0.8235
éblouissement,nom,Étonnement,0.9241
agrandissement,nom,Élargissement,0.8719
anticommuniste,nom,Opposé au communisme,0.8255
antisoviétique,nom,Hostile à l'URSS,0.8166
antiéconomique,adj,Contraire à l'économie,0.8596
christologique,adj,Théologique,0.9347
classification,nom,Rangement,0.9993
congratulation,nom,Félicitation chaleureuse,0.8475
contracyclique,adj,Anticyclique,0.8294
convertibilité,nom,Adaptabilité,0.8168
différenciable,adj,Dérivable,0.8192
différentiable,adj,Dérivable,0.8102
digitalisation,nom,Numérisation,0.8652
divertissement,nom,Occupation,0.8239
démontrabilité,nom,Vérifiabilité,0.8271
dépénalisation,nom,Suppression des sanctions,0.8275
désodorisation,nom,Élimination des odeurs,0.8185
empoisonnement,nom,Intoxication mortelle,0.8114
enrichissement,nom,Amélioration,0.8338
entrapercevoir,verbe,Discerner distinctement,0.8581
excursionniste,nom,Voyageur,0.8193
expérimentable,adj,Testable,0.9856
falsifiabilité,nom,Vérifiabilité,0.8719
fréquencemètre,nom,Instrument de mesure,0.9230
hydrodynamique,adj,Mécanique des fluides,0.8167
hyperpuissance,nom,Superpuissance mondiale,0.8536
hyperthyroïdie,nom,Suractivité thyroïdienne,0.8969
hyperémotivité,nom,Exagération émotionnelle,0.8639
immatérialisme,nom,Idéalisme,0.8596
inappropriable,adj,Convenable,0.8182
industrialiser,verbe,Moderniser,0.9622
indécomposable,adj,Insécable,0.8003
indéfinissable,adj,Insaisissable,0.8634
insoupçonnable,adj,Indécelable,0.8441
interféromètre,nom,Instrument de mesure,0.8869
interocéanique,adj,Traversant deux océans,0.8239
interpellateur,nom,Questionneur,0.8032
intersexualité,nom,Bisexualité,0.9631
intersyndicale,nom,Unité des syndicats,0.8383
libéralisation,nom,Ouverture,0.9994
maintenabilité,nom,Durabilité,0.9756
maximalisation,nom,Optimisation,0.9751
multipropriété,nom,Copropriété,0.8190
mésinformation,nom,Désinformation délibérée,0.8915
métabolisation,nom,Transformation chimique,0.8005
octosyllabique,adj,Composé de huit syllabes,0.8222
ophtalmoplégie,nom,Paralysie oculaire,0.8817
outrepassement,nom,Action de transgresser,0.8011
philharmonique,adj,Symphonique,0.8064
pluviométrique,adj,Mesure des précipitations,0.8097
précapitaliste,adj,Antérieur au capitalisme,0.8325
précontractuel,adj,Avant le contrat,0.8419
préhospitalier,adj,Avant l'hôpital,0.8314
prépsychotique,adj,Antérieur à la psychose,0.8202
pseudomorphose,nom,Transformation trompeuse,0.8072
périœsophagien,adj,Relatif à l'œsophage,0.8430
quadrangulaire,adj,En forme de rectangle,0.8222
quantificateur,nom,Multiplicateur,0.8148
radioaltimètre,nom,Instrument de mesure,0.8319
radiodiffuseur,nom,Émetteur,0.8383
radiodiffusion,nom,Émission sonore,0.8523
reconfigurable,adj,Adaptable,0.8082
redistributeur,nom,Partageur,0.8611
renumérotation,nom,Réarrangement des numéros,0.8501
resplendissant,adj,Éblouissant,0.9080
réappréciation,nom,Reconsidération,0.8139
réductionnisme,nom,Minimalisme,0.8110
sacrificatoire,nom,Lieu de culte,0.8011
spatiotemporel,adj,Dans le temps et l'espace,0.8023
sténographique,adj,Écriture abrégée,0.8271
sulfocarbonate,nom,Composé sulfuré,0.8000
supercontinent,nom,Plateau continental géant,0.8137
supraterrestre,adj,Extraterrestre,0.9807
tambourinement,nom,Tapotement rythmique,0.8138
technicisation,nom,Spécialisation,0.8060
technétronique,adj,Électronique moderne,0.8143
terminographie,nom,Cartographie des mots,0.8014
transocéanique,adj,Traversant les océans,0.8298
téléconférence,nom,Communication à distance,0.8022
uniformisation,nom,Standardisation,0.8203
accomplissement,nom,Action réussie,0.8129
affaiblissement,nom,Diminution,0.8370
anaphrodisiaque,adj,Inhibiteur sexuel,0.8020
anticapitaliste,nom,Opposé au capitalisme,0.8488
boursoufflement,nom,Gonflement,0.8394
cannibalisation,nom,Dévoration,0.8067
cauchemardesque,adj,Effrayant et oppressant,0.8285
culpabilisation,nom,Sentiment de reproche,0.8134
dichlorométhane,nom,Hydrocarbure chloré,0.8005
dysorthographie,nom,Trouble de l'écriture,0.8271
débudgétisation,nom,Réduction des dépenses,0.8091
démocratisation,nom,Ouverture à tous,0.8626
désexualisation,nom,Privation de la sexualité,0.8149
ensommeillement,nom,Endormissement brumeux,0.8177
extragalactique,adj,Hors de notre galaxie,0.8187
hospitalisation,nom,Séjour à l'hôpital,0.8347
hétérosexualité,nom,Orientation sexuelle,0.8390
immatriculation,nom,Enregistrement officiel,0.8127
imprescriptible,adj,Inaliénable,0.8355
impénétrabilité,nom,Inviolabilité,0.8076
incommutabilité,nom,Invariabilité,0.8165
indépendantiste,nom,Autonomiste,0.8151
informatisation,nom,Numérisation,0.8437
infériorisation,nom,Dévalorisation,0.8505
intellectualité,nom,Capacité de raisonnement,0.8325
intracellulaire,adj,Contenu de la cellule,0.8327
irréconciliable,adj,Inconciliable,0.9231
matérialisation,nom,Concrétisation,0.8062
mécompréhension,nom,Erreur d'interprétation,0.8002
néocolonialiste,nom,Proche du colonialisme,0.8115
pluricellulaire,adj,Multicellulaire,0.9588
posttraumatique,adj,Suite à un traumatisme,0.8088
périarticulaire,adj,Autour de l'articulation,0.8115
rationalisation,nom,Optimisation,0.8957
réincarcération,nom,Retour en prison,0.8199
réinterrogation,nom,Nouveau questionnement,0.9524
rétroprojecteur,nom,Appareil de projection,0.8229
standardisation,nom,Harmonisation,0.9628
subventionnable,adj,Recevable,0.8450
surentraînement,nom,Trop d'exercice,0.8699
thyréostimuline,nom,Hormone thyroïdienne,0.8171
transhistorique,adj,Préhistorique,0.9523
échantillonnage,nom,Prélèvement aléatoire,0.8306
