lemma,chosen,rejected,n_category
puiser,Tirer,Prendre dans,PP_BRIDGE
honorer,Vénérer,Donner l'estime,DOBJ
stipuler,Préciser,Mettre par contrat,PP_BRIDGE
affranchir,Libérer,Mettre dehors,VERB_ADV
renfermer,Contenir,Avoir à l'intérieur,PP_BRIDGE
présumer,Supposer,Tenir pour acquis,PP_BRIDGE
clicher,Photographier,Faire une photo,DOBJ
fortifier,Renforcer,Donner de la force,PP_BRIDGE
déployer,Étaler,Mettre en place,PP_BRIDGE
allouer,Octroyer,Mettre à disposition,PP_BRIDGE
initier,Lancer,Mettre en route,PP_BRIDGE
poigner,Saisir,Donner un coup,DOBJ
franchir,Traverser,Aller de l'autre côté,PP_BRIDGE
signifier,Vouloir dire,Faire savoir,VERB_VERB
prélever,Soustraire,Tirer un échantillon,DOBJ
conférer,Octroyer,Donner en partage,PP_BRIDGE
ériger,Édifier,Mettre debout,VERB_VERB
abolir,Supprimer,Mettre fin,VERB_VERB
détourner,Dévier,Mettre de côté,PP_BRIDGE
préposer,Affecter,Mettre en poste,PP_BRIDGE
violer,Enfreindre,Faire violence,VERB_VERB
chauffer,Tiédir,Donner de la chaleur,PP_BRIDGE
fréquenter,Côtoyer,Avoir des liens,DOBJ
prier,Implorer,Faire une demande,DOBJ
couler,Sombrer,Aller au fond,PP_BRIDGE
dispenser,Exempter,Mettre à part,PP_BRIDGE
aboutir,Réussir,Mener à bien,PP_BRIDGE
accélérer,Précipiter,Aller plus vite,VERB_ADV
exiler,Bannir,Mettre dehors,VERB_ADV
effrayer,Terrifier,Faire peur,VERB_VERB
concéder,Octroyer,Donner en concession,PP_BRIDGE
exciter,Stimuler,Mettre en émoi,PP_BRIDGE
déchirer,Lacérer,Mettre en pièces,PP_BRIDGE
échouer,Rater,Mener à mal,PP_BRIDGE
articuler,Énoncer,Faire entendre,VERB_VERB
ligner,Ranger,Mettre en ligne,PP_BRIDGE
éviter,Esquiver,Mettre à distance,PP_BRIDGE
éliminer,Supprimer,Mettre dehors,VERB_ADV
alimenter,Nourrir,Donner à manger,PP_BRIDGE
casser,Briser,Mettre en miettes,PP_BRIDGE
tempérer,Modérer,Mettre un frein,DOBJ
embarrasser,Gêner,Mettre dans l'embarras,PP_BRIDGE
incorporer,Inclure,Mettre dedans,VERB_ADV
délibérer,Réfléchir,Tenir conseil,VERB_VERB
combler,Remplir,Mettre à ras bord,PP_BRIDGE
border,Encadrer,Mettre en bordure,PP_BRIDGE
retourner,Renvoyer,Faire revenir,VERB_VERB
emparer,Saisir,Mettre la main,DOBJ
corrompre,Soudoyer,Mettre à mal,PP_BRIDGE
paver,Daller,Mettre des pavés,DOBJ
énumérer,Lister,Faire le compte,DOBJ
décerner,Octroyer,Donner en honneur,PP_BRIDGE
épargner,Économiser,Mettre de côté,PP_BRIDGE
attester,Certifier,Faire la preuve,DOBJ
acharner,Persévérer,Mettre du cœur,DOBJ
dépenser,Débourser,Mettre la main au porte-monnaie,DOBJ
ébranler,Secouer,Mettre en cause,PP_BRIDGE
imprégner,Pénétrer,Faire passer dedans,VERB_VERB
chanter,Vocaliser,Faire entendre une mélodie,VERB_VERB
exporter,Vendre à l'étranger,Faire passer la frontière,VERB_VERB
interroger,Questionner,Faire passer un examen,VERB_VERB
rejoindre,Retrouver,Aller à la rencontre,PP_BRIDGE
gêner,Embarrasser,Mettre mal à l'aise,VERB_ADV
aviser,Notifier,Faire savoir,VERB_VERB
assassiner,Tuer,Mettre à mort,PP_BRIDGE
abréger,Raccourcir,Faire court,VERB_VERB
compenser,Équilibrer,Mettre en équilibre,PP_BRIDGE
occasionner,Provoquer,Donner lieu,VERB_VERB
égarer,Perdre,Ne plus trouver,VERB_ADV
raisonner,Réfléchir,Avoir une pensée,DOBJ
fiancer,Promettre,Donner sa parole,DOBJ
démentir,Réfuter,Mettre en doute,PP_BRIDGE
agréer,Accepter,Donner son accord,DOBJ
épouser,Marier,Prendre pour conjoint,PP_BRIDGE
afficher,Annoncer,Mettre en évidence,PP_BRIDGE
encadrer,Border,Mettre dans un cadre,PP_BRIDGE
conseiller,Recommander,Donner un avis,DOBJ
mouiller,Tremper,Mettre dans l'eau,PP_BRIDGE
irriter,Agacer,Mettre en colère,PP_BRIDGE
laver,Nettoyer,Passer à l'eau,PP_BRIDGE
baisser,Diminuer,Mettre plus bas,VERB_ADV
procurer,Fournir,Faire avoir,VERB_VERB
acquitter,Régler,Mettre à jour,PP_BRIDGE
critiquer,Censurer,Donner un avis négatif,DOBJ
superposer,Empiler,Mettre l'un sur l'autre,DOBJ
inaugurer,Lancer,Mettre en route,PP_BRIDGE
révolter,Indigner,Mettre en colère,PP_BRIDGE
remporter,Gagner,Mettre la main,DOBJ
ménager,Préserver,Mettre à l'abri,PP_BRIDGE
entamer,Commencer,Mettre en route,PP_BRIDGE
opprimer,Tyranniser,Mettre sous le joug,PP_BRIDGE
atténuer,Modérer,Mettre une sourdine,DOBJ
manger,Avaler,Mettre dans l'estomac,PP_BRIDGE
abonner,Inscrire,Mettre sur la liste,PP_BRIDGE
féliciter,Congratuler,Donner ses félicitations,DOBJ
baptiser,Nommer,Donner un nom,DOBJ
promulguer,Édicter,Mettre en loi,PP_BRIDGE
résulter,Découler,Avoir pour conséquence,PP_BRIDGE
accabler,Submerger,Mettre à terre,PP_BRIDGE
retarder,Différer,Mettre à plus tard,PP_BRIDGE
licencier,Renvoyer,Mettre dehors,VERB_ADV
approcher,Avoisiner,Aller près,VERB_ADV
infecter,Contaminer,Mettre en contact,PP_BRIDGE
déguiser,Travestir,Faire passer pour autre,VERB_VERB
anéantir,Pulvériser,Mettre à mal,PP_BRIDGE
contenter,Satisfaire,Donner satisfaction,VERB_VERB
noyer,Submerger,Mettre sous l'eau,PP_BRIDGE
éclater,Exploser,Mettre en pièces,PP_BRIDGE
soupçonner,Suspecter,Avoir des doutes,DOBJ
financer,Subventionner,Donner des fonds,DOBJ
assiéger,Cerner,Mettre le siège,DOBJ
simplifier,Faciliter,Rendre plus simple,VERB_ADV
avérer,Confirmer,Mettre en évidence,PP_BRIDGE
tourmenter,Harceler,Mettre en peine,PP_BRIDGE
mobiliser,Rassembler,Mettre en marche,PP_BRIDGE
habiller,Vêtir,Mettre des habits,DOBJ
déporter,Bannir,Mettre en exil,PP_BRIDGE
transformer,Métamorphoser,Faire changer,VERB_VERB
saigner,Verser,Perdre du sang,DOBJ
gérer,Administrer,Mettre en ordre,PP_BRIDGE
croire,Penser,Avoir foi,VERB_VERB
retrancher,Soustraire,Mettre à part,PP_BRIDGE
récolter,Moissonner,Faire la cueillette,DOBJ
peser,Évaluer,Avoir du poids,DOBJ
inclure,Englober,Mettre dedans,VERB_ADV
commenter,Annoter,Donner son avis,DOBJ
infliger,Imposer,Donner en peine,PP_BRIDGE
bloquer,Stopper,Mettre un frein,DOBJ
structurer,Organiser,Mettre en forme,PP_BRIDGE
enflammer,Embraser,Mettre le feu,DOBJ
léguer,Transmettre,Donner en héritage,PP_BRIDGE
chérir,Adorer,Avoir de l'affection,PP_BRIDGE
imiter,Singer,Faire pareil,VERB_VERB
étouffer,Suffoquer,Mettre à bout de souffle,PP_BRIDGE
maudire,Damner,Donner sa malédiction,DOBJ
traîner,Tracter,Tirer derrière,VERB_VERB
anticiper,Prévoir,Voir avant,VERB_ADV
enfoncer,Plonger,Mettre dedans,VERB_ADV
regretter,Déplorer,Avoir des remords,DOBJ
embarquer,Charger,Mettre à bord,PP_BRIDGE
allumer,Enflammer,Mettre le feu,DOBJ
mutiler,Estropier,Mettre en morceaux,PP_BRIDGE
dissimuler,Cacher,Mettre à l'abri des regards,PP_BRIDGE
découper,Trancher,Faire des morceaux,DOBJ
trahir,Tromper,Donner aux ennemis,PP_BRIDGE
tolérer,Permettre,Donner son accord,DOBJ
bouleverser,Chambouler,Mettre sens dessus dessous,VERB_VERB
recruter,Embaucher,Donner du travail,DOBJ
spécifier,Détailler,Mettre en clair,PP_BRIDGE
ravir,Enlever,Mettre la main,DOBJ
expulser,Bannir,Mettre dehors,VERB_ADV
forger,Marteler,Donner forme au métal,VERB_VERB
décomposer,Scinder,Mettre en morceaux,PP_BRIDGE
délimiter,Borner,Mettre des limites,DOBJ
injecter,Inoculer,Mettre dedans,VERB_ADV
reporter,Différer,Mettre à plus tard,PP_BRIDGE
sanctionner,Punir,Donner une peine,DOBJ
inculper,Accuser,Mettre en cause,PP_BRIDGE
délaisser,Abandonner,Mettre de côté,PP_BRIDGE
refouler,Repousser,Mettre dehors,VERB_ADV
abaisser,Humilier,Mettre plus bas,VERB_ADV
rêver,Songer,Avoir une vision,DOBJ
tremper,Mouiller,Mettre dans l'eau,PP_BRIDGE
corner,Klaxonner,Faire un signal sonore,DOBJ
admirer,Vénérer,Avoir de l'estime,PP_BRIDGE
souscrire,Adhérer,Donner son accord,DOBJ
consolider,Renforcer,Donner de la solidité,PP_BRIDGE
évacuer,Vider,Mettre dehors,VERB_ADV
imputer,Attribuer,Mettre sur le compte,PP_BRIDGE
espérer,Souhaiter,Avoir l'espoir,DOBJ
souder,Joindre,Mettre en un tout,PP_BRIDGE
exalter,Glorifier,Mettre en valeur,PP_BRIDGE
figer,Glacer,Mettre en arrêt,PP_BRIDGE
bouillir,Cuire,Mettre à ébullition,PP_BRIDGE
nuancer,Tempérer,Mettre des nuances,DOBJ
posséder,Détenir,Avoir en propre,PP_BRIDGE
éveiller,Stimuler,Faire sortir du sommeil,VERB_VERB
enduire,Recouvrir,Mettre une couche,DOBJ
taxer,Imposer,Mettre une taxe,DOBJ
voiler,Cacher,Mettre un voile,DOBJ
préserver,Protéger,Mettre à l'abri,PP_BRIDGE
sécher,Tarir,Mettre au soleil,PP_BRIDGE
promouvoir,Avancer,Faire monter en grade,VERB_VERB
témoigner,Attester,Faire la preuve,DOBJ
assumer,Endosser,Prendre en charge,PP_BRIDGE
rembourser,Restituer,Donner en retour,PP_BRIDGE
soustraire,Retrancher,Mettre à part,PP_BRIDGE
seconder,Aider,Donner main forte,VERB_VERB
dissiper,Disperser,Mettre en l'air,PP_BRIDGE
courir,Galoper,Aller vite,VERB_ADV
séduire,Charmer,Faire fondre,VERB_VERB
désarmer,Démunir,Enlever les armes,DOBJ
remonter,Réajuster,Mettre en place,PP_BRIDGE
unifier,Joindre,Mettre en un tout,PP_BRIDGE
statuer,Décider,Donner un verdict,DOBJ
survenir,Advenir,Faire son apparition,DOBJ
restituer,Rendre,Mettre en place,PP_BRIDGE
bannir,Exiler,Mettre dehors,VERB_ADV
roser,Teinter,Donner couleur rose,VERB_VERB
explorer,Sonder,Faire le tour,DOBJ
renseigner,Informer,Mettre au courant,PP_BRIDGE
encourir,Risquer,Mettre en péril,PP_BRIDGE
rayer,Effacer,Mettre une marque,DOBJ
notifier,Aviser,Faire savoir,VERB_VERB
embrasser,Étreindre,Donner un baiser,DOBJ
enclore,Entourer,Mettre une clôture,DOBJ
débarquer,Décharger,Mettre à terre,PP_BRIDGE
pendre,Accrocher,Mettre en l'air,PP_BRIDGE
réparer,Restaurer,Mettre en état,PP_BRIDGE
ralentir,Modérer,Aller moins vite,VERB_ADV
paralyser,Figer,Mettre en arrêt,PP_BRIDGE
parer,Esquiver,Mettre à distance,PP_BRIDGE
coller,Adhérer,Mettre en contact,PP_BRIDGE
arroser,Mouiller,Mettre de l'eau,PP_BRIDGE
confisquer,Saisir,Mettre la main,DOBJ
octroyer,Accorder,Donner en partage,PP_BRIDGE
émouvoir,Toucher,Faire vibrer,VERB_VERB
étaler,Disposer,Mettre à plat,PP_BRIDGE
condenser,Concentrer,Mettre en peu,PP_BRIDGE
arriérer,Différer,Mettre à plus tard,PP_BRIDGE
négocier,Discuter,Mettre d'accord,PP_BRIDGE
modeler,Façonner,Donner une forme,DOBJ
apposer,Coller,Mettre en place,PP_BRIDGE
fleurir,Éclore,Donner des fleurs,DOBJ
indigner,Scandaliser,Mettre en colère,PP_BRIDGE
copier,Reproduire,Faire pareil,VERB_VERB
resserrer,Comprimer,Mettre plus près,VERB_ADV
accréditer,Reconnaître,Donner crédit,VERB_VERB
incarner,Personnifier,Mettre en chair,PP_BRIDGE
persécuter,Tourmenter,Mettre à l'épreuve,PP_BRIDGE
astreindre,Contraindre,Mettre sous obligation,PP_BRIDGE
accrocher,Suspendre,Mettre au mur,PP_BRIDGE
façonner,Modeler,Donner une forme,DOBJ
arranger,Disposer,Mettre en ordre,PP_BRIDGE
centraliser,Concentrer,Mettre au centre,PP_BRIDGE
dérouler,Étendre,Mettre à plat,PP_BRIDGE
grever,Charger,Mettre une charge,DOBJ
bénir,Sacrer,Donner sa bénédiction,DOBJ
ouïr,Entendre,Faire entendre,VERB_VERB
massacrer,Décimer,Mettre à mort,PP_BRIDGE
esquisser,Ébaucher,Faire un croquis,DOBJ
récompenser,Gratifier,Donner une médaille,DOBJ
saluer,Acclamer,Donner le bonjour,DOBJ
déclencher,Provoquer,Mettre en route,PP_BRIDGE
dévorer,Engloutir,Manger vite,VERB_ADV
improviser,Inventer,Faire à la volée,PP_BRIDGE
débattre,Discuter,Mettre en discussion,PP_BRIDGE
amorcer,Commencer,Mettre en route,PP_BRIDGE
refroidir,Frigorifier,Mettre au froid,PP_BRIDGE
rassurer,Apaiser,Mettre en confiance,PP_BRIDGE
alléguer,Prétexter,Mettre en avant,PP_BRIDGE
enchaîner,Lier,Mettre aux fers,PP_BRIDGE
glisser,Patiner,Aller en dérapant,PP_BRIDGE
professer,Enseigner,Faire profession,VERB_VERB
vieillir,Décrépir,Avoir des années,DOBJ
chiffrer,Codifier,Mettre en code,PP_BRIDGE
ramasser,Recueillir,Mettre en tas,PP_BRIDGE
ensevelir,Enterrer,Mettre sous terre,PP_BRIDGE
abriter,Loger,Mettre à l'abri,PP_BRIDGE
nuer,Teinter,Donner des nuances,DOBJ
instaurer,Établir,Mettre en place,PP_BRIDGE
redouter,Craindre,Avoir peur,VERB_VERB
abuser,Tromper,Faire trop,VERB_ADV
documenter,Renseigner,Mettre par écrit,PP_BRIDGE
inquiéter,Soucier,Mettre en alerte,PP_BRIDGE
dérober,Voler,Mettre la main,DOBJ
piller,Saccager,Mettre à sac,PP_BRIDGE
raccourcir,Réduire,Faire plus court,VERB_ADV
dégénérer,Pourrir,Aller à la ruine,PP_BRIDGE
intimer,Sommer,Donner l'ordre,DOBJ
révoquer,Annuler,Mettre fin,VERB_VERB
omettre,Oublier,Sortir de l'esprit,PP_BRIDGE
affamer,Priver,Donner faim,VERB_VERB
fouiller,Inspecter,Faire une recherche,DOBJ
filtrer,Cribler,Mettre au crible,PP_BRIDGE
repérer,Localiser,Mettre la main,DOBJ
applaudir,Acclamer,Donner des applaudissements,DOBJ
certifier,Attester,Faire la preuve,DOBJ
heurter,Cogner,Donner un choc,DOBJ
transcrire,Recopier,Mettre par écrit,PP_BRIDGE
offenser,Insulter,Mettre en cause,PP_BRIDGE
décharger,Vider,Mettre à plat,PP_BRIDGE
desservir,Pénaliser,Faire du tort,DOBJ
réprimer,Étouffer,Mettre fin,VERB_VERB
ajourner,Différer,Mettre à plus tard,PP_BRIDGE
distraire,Amuser,Faire passer le temps,VERB_VERB
flatter,Cajoler,Donner du miel,DOBJ
inonder,Noyer,Mettre sous l'eau,PP_BRIDGE
interposer,Insérer,Mettre au milieu,PP_BRIDGE
résigner,Soumettre,Mettre les bras,DOBJ
endommager,Abîmer,Mettre à mal,PP_BRIDGE
fouler,Piétiner,Mettre les pieds,DOBJ
conjurer,Implorer,Donner sa parole,DOBJ
ajuster,Caler,Mettre au point,PP_BRIDGE
revendiquer,Réclamer,Mettre en demande,PP_BRIDGE
cantonner,Confiner,Mettre à part,PP_BRIDGE
prodiguer,Distribuer,Donner sans compter,PP_BRIDGE
redevenir,Repasser,Faire retour,VERB_VERB
emmener,Conduire,Faire venir,VERB_VERB
prévaloir,Dominer,Tenir le haut,DOBJ
obéir,Suivre,Donner suite,VERB_VERB
référer,Renvoyer,Mettre en rapport,PP_BRIDGE
recouvrer,Récupérer,Mettre la main,DOBJ
récupérer,Reprendre,Mettre la main,DOBJ
gâter,Pourrir,Mettre à mal,PP_BRIDGE
demeurer,Habiter,Avoir résidence,VERB_VERB
cuirasser,Blinder,Mettre une cuirasse,DOBJ
rallier,Réunir,Mettre ensemble,VERB_ADV
raser,Tondre,Donner un coup de rasoir,DOBJ
risquer,Hasarder,Mettre en jeu,PP_BRIDGE
additionner,Cumuler,Mettre ensemble,VERB_ADV
disputer,Contester,Mettre en cause,PP_BRIDGE
propager,Diffuser,Faire connaître,VERB_VERB
deviner,Pressentir,Avoir une intuition,DOBJ
rectifier,Corriger,Mettre au point,PP_BRIDGE
stimuler,Activer,Donner du tonus,DOBJ
valider,Approuver,Donner son accord,DOBJ
secouer,Agiter,Mettre en mouvement,PP_BRIDGE
réglementer,Régir,Mettre des règles,DOBJ
expirer,Décéder,Rendre l'âme,DOBJ
inciter,Encourager,Donner envie,VERB_VERB
méditer,Songer,Avoir une réflexion,DOBJ
incriminer,Accuser,Mettre en cause,PP_BRIDGE
escompter,Espérer,Mettre en compte,PP_BRIDGE
greffer,Implanter,Mettre en place,PP_BRIDGE
émanciper,Affranchir,Mettre dehors,VERB_ADV
fausser,Altérer,Mettre de travers,PP_BRIDGE
délier,Détacher,Mettre en liberté,PP_BRIDGE
féconder,Polliniser,Mettre en germe,PP_BRIDGE
déposséder,Spolier,Mettre dehors,VERB_ADV
broyer,Pulvériser,Mettre en miettes,PP_BRIDGE
amender,Corriger,Mettre au point,PP_BRIDGE
choquer,Heurter,Donner un coup,DOBJ
asservir,Soumettre,Mettre sous le joug,PP_BRIDGE
fendre,Cliver,Mettre en deux,PP_BRIDGE
maîtriser,Dominer,Mettre sous contrôle,PP_BRIDGE
pressentir,Soupçonner,Avoir une intuition,DOBJ
perturber,Troubler,Mettre en désordre,PP_BRIDGE
essuyer,Sécher,Passer le chiffon,DOBJ
épurer,Purger,Mettre au propre,PP_BRIDGE
soulager,Apaiser,Donner du répit,DOBJ
dévoiler,Révéler,Mettre au jour,PP_BRIDGE
camper,Bivouaquer,Faire halte,VERB_VERB
dédaigner,Mépriser,Faire la fine bouche,DOBJ
flétrir,Faner,Mettre à mal,PP_BRIDGE
stabiliser,Asseoir,Mettre en équilibre,PP_BRIDGE
amuser,Distraire,Faire rire,VERB_VERB
déborder,Submerger,Mettre à profit,PP_BRIDGE
dissocier,Séparer,Mettre à part,PP_BRIDGE
déranger,Importuner,Mettre en désordre,PP_BRIDGE
ressusciter,Renaître,Sortir du tombeau,DOBJ
prédire,Augurer,Mettre en garde,PP_BRIDGE
adorer,Idolâtrer,Avoir en admiration,PP_BRIDGE
prêcher,Évangéliser,Donner la parole,DOBJ
intercaler,Insérer,Mettre au milieu,PP_BRIDGE
étreindre,Enserrer,Donner une étreinte,DOBJ
discipliner,Dompter,Mettre sous contrôle,PP_BRIDGE
démêler,Élucider,Mettre au clair,PP_BRIDGE
solder,Liquider,Mettre en vente,PP_BRIDGE
cerner,Encadrer,Mettre des limites,DOBJ
adoucir,Atténuer,Mettre en douceur,PP_BRIDGE
assaillir,Attaquer,Donner l'assaut,DOBJ
adonner,Vouer,Donner du temps,DOBJ
concourir,Rivaliser,Mettre en compétition,PP_BRIDGE
crier,Hurler,Faire du bruit,DOBJ
réfuter,Contredire,Mettre en doute,PP_BRIDGE
libeller,Énoncer,Mettre par écrit,PP_BRIDGE
activer,Lancer,Mettre en marche,PP_BRIDGE
appréhender,Saisir,Mettre la main,DOBJ
surseoir,Différer,Mettre à plus tard,PP_BRIDGE
débiter,Couper,Mettre en morceaux,PP_BRIDGE
secourir,Aider,Donner main forte,VERB_VERB
redresser,Relever,Mettre debout,VERB_VERB
générer,Engendrer,Donner naissance,VERB_VERB
habiliter,Autoriser,Donner pouvoir,VERB_VERB
lire,Déchiffrer,Faire la lecture,DOBJ
fléchir,Plier,Mettre en angle,PP_BRIDGE
devancer,Précéder,Mettre en avant,PP_BRIDGE
calmer,Tranquilliser,Mettre au repos,PP_BRIDGE
rater,Manquer,Mettre à côté,PP_BRIDGE
déceler,Détecter,Mettre en lumière,PP_BRIDGE
ensemencer,Semer,Mettre des graines,DOBJ
simuler,Feindre,Faire semblant,VERB_VERB
tester,Éprouver,Mettre à l'épreuve,PP_BRIDGE
étrangler,Suffoquer,Mettre à mort,PP_BRIDGE
remercier,Congratuler,Donner ses remerciements,DOBJ
brouiller,Mélanger,Mettre en désordre,PP_BRIDGE
régénérer,Renouveler,Donner une vie nouvelle,DOBJ
valoriser,Mettre en avant,Donner de la valeur,PP_BRIDGE
éclaircir,Clarifier,Mettre au clair,PP_BRIDGE
surgir,Apparaître,Sortir de l'ombre,PP_BRIDGE
évaporer,Disperser,Mettre en vapeur,PP_BRIDGE
retracer,Reconstituer,Faire le récit,DOBJ
amoindrir,Diminuer,Mettre à mal,PP_BRIDGE
redoubler,Renforcer,Mettre en double,PP_BRIDGE
dépeindre,Décrire,Faire un portrait,DOBJ
remuer,Agiter,Mettre en mouvement,PP_BRIDGE
barrer,Obstruer,Mettre un barrage,DOBJ
lasser,Fatiguer,Mettre à plat,PP_BRIDGE
hasarder,Risquer,Mettre en jeu,PP_BRIDGE
balancer,Bercer,Mettre en mouvement,PP_BRIDGE
engloutir,Avaler,Mettre dans le ventre,PP_BRIDGE
indemniser,Dédommager,Donner une compensation,DOBJ
replacer,Reposer,Mettre en place,PP_BRIDGE
amortir,Atténuer,Mettre un coussin,DOBJ
amputer,Retrancher,Mettre à part,PP_BRIDGE
affermir,Consolider,Donner de la fermeté,PP_BRIDGE
rougir,Empourprer,Avoir le sang,DOBJ
comporter,Inclure,Avoir en soi,PP_BRIDGE
blâmer,Réprouver,Mettre en cause,PP_BRIDGE
transposer,Adapter,Mettre en forme,PP_BRIDGE
accoucher,Enfanter,Donner naissance,VERB_VERB
tâcher,Tenter,Faire un essai,DOBJ
pleurer,Sangloter,Verser des larmes,DOBJ
défricher,Préparer,Mettre en culture,PP_BRIDGE
fourrer,Bourrer,Mettre dedans,VERB_ADV
expliciter,Détailler,Mettre au clair,PP_BRIDGE
réintégrer,Reprendre,Mettre en place,PP_BRIDGE
obséder,Hanter,Avoir en tête,PP_BRIDGE
subjuguer,Captiver,Mettre sous le charme,PP_BRIDGE
attendrir,Émouvoir,Mettre les larmes,DOBJ
épanouir,Fleurir,Sortir en pleine forme,PP_BRIDGE
émerveiller,Ravir,Faire émerveiller,VERB_VERB
détériorer,Dégrader,Mettre à mal,PP_BRIDGE
obscurcir,Assombrir,Mettre en ombre,PP_BRIDGE
insulter,Injurier,Donner un nom,DOBJ
collaborer,Coopérer,Donner main forte,VERB_VERB
trouer,Percer,Faire un trou,DOBJ
saler,Assaisonner,Mettre du sel,DOBJ
symboliser,Représenter,Faire image,VERB_VERB
légitimer,Justifier,Donner raison,VERB_VERB
englober,Inclure,Mettre ensemble,VERB_ADV
perpétuer,Pérenniser,Faire durer,VERB_VERB
labourer,Cultiver,Mettre en culture,PP_BRIDGE
déshonorer,Discréditer,Mettre à mal,PP_BRIDGE
actualiser,Moderniser,Mettre à jour,PP_BRIDGE
venger,Punir,Donner une revanche,DOBJ
mûrir,Évoluer,Avoir des années,DOBJ
tarir,Sécher,Mettre à sec,PP_BRIDGE
cueillir,Récolter,Faire la récolte,DOBJ
réorganiser,Restructurer,Mettre en ordre,PP_BRIDGE
coudre,Suturer,Mettre des points,DOBJ
affronter,Braver,Faire face,VERB_VERB
surpasser,Dépasser,Aller plus loin,VERB_ADV
rehausser,Élever,Mettre plus haut,VERB_ADV
avilir,Dégrader,Mettre plus bas,VERB_ADV
aspirer,Inhaler,Tirer vers soi,VERB_VERB
imposer,Dicter,Mettre une obligation,DOBJ
ourdir,Tramer,Mettre au point,PP_BRIDGE
démarrer,Lancer,Mettre en route,PP_BRIDGE
escroquer,Arnaquer,Mettre la main,DOBJ
trier,Classer,Mettre en ordre,PP_BRIDGE
vouvoyer,Respecter,Donner du vous,DOBJ
tatouer,Marquer,Donner une empreinte,DOBJ
flamber,Embraser,Mettre le feu,DOBJ
